text,outcome
The defendant brutally murdered the victim by stabbing multiple times with a kitchen knife during a domestic dispute over financial matters. Premeditation was evident from witness testimony.,Guilty
The accused shot and killed the complainant outside a bar following an altercation. Multiple witnesses identified the defendant as the shooter.,Guilty
"During a robbery gone wrong, the defendant killed the store owner with a blunt weapon. The crime was captured on CCTV cameras.",Guilty
"The defendant unlawfully entered the victim's residence during nighttime and stole jewelry worth ₹2,00,000. The house was unoccupied at the time.",Guilty
The accused snatched a purse from an elderly woman on the street and fled on a motorcycle. The victim suffered minor injuries during the incident.,Guilty
"Multiple defendants robbed a bank using firearms, threatening customers and staff. They escaped with ₹10,00,000 in cash.",Guilty
"The defendant physically assaulted the complainant with fists and kicks, causing grievous injuries requiring hospitalization for 15 days.",Guilty
"During a road rage incident, the accused attacked the victim with a baseball bat, fracturing the victim's arm and causing head injuries.",Guilty
"The defendant voluntarily caused hurt to the victim during a personal dispute, using dangerous weapons including stones and sticks.",Guilty
The defendant committed rape against the complainant after confining her in an isolated location against her will.,Guilty
The accused sexually harassed a female colleague at workplace through unwelcome physical contact and inappropriate comments over several months.,Guilty
"The defendant was found guilty of voyeurism, secretly recording intimate images of victims without their consent.",Guilty
The defendant was caught in possession of 100 grams of heroin with intent to distribute. Drug paraphernalia was also recovered from the scene.,Guilty
"The accused was running a large-scale drug trafficking operation, selling cocaine and other narcotics across state boundaries.",Guilty
Police recovered 2 kilograms of marijuana from the defendant's vehicle during a routine traffic stop. Evidence suggested commercial quantity.,Guilty
"The defendant kidnapped a businessman's son and demanded ₹50,00,000 ransom for his release. The victim was held captive for 5 days.",Guilty
The accused abducted a minor girl from her school premises and confined her in an abandoned building for improper purposes.,Guilty
Multiple defendants kidnapped the victim for the purpose of selling him into forced labor in another state.,Guilty
"The defendant cheated investors by promising high returns in a fake investment scheme, collecting ₹1 crore before disappearing.",Guilty
"The accused used forged documents to withdraw ₹5,00,000 from the victim's bank account without authorization.",Guilty
The defendant created fake identity documents and obtained multiple loans from different banks using false information.,Guilty
"The defendant regularly subjected his wife to physical and mental cruelty, including beating and threatening to kill her over dowry demands.",Guilty
"The accused tortured his daughter-in-law for additional dowry payments, causing severe physical and psychological trauma.",Guilty
The defendant confined his spouse in the house and prevented her from meeting family members while demanding money from her parents.,Guilty
"The public servant defendant demanded illegal gratification of ₹1,00,000 from citizens for processing their legitimate applications.",Guilty
The accused government official was caught accepting bribes in exchange for favorable contract awards to specific companies.,Guilty
"The defendant misappropriated public funds allocated for development projects for personal use, causing loss to the exchequer.",Guilty
The defendant unlawfully occupied the complainant's agricultural land and refused to vacate despite court orders.,Guilty
"The accused destroyed the victim's crops and agricultural equipment out of personal vendetta, causing substantial financial loss.",Guilty
The defendant trespassed into private property and threatened the owners with dire consequences if they attempted to remove him.,Guilty
The defendant created fake educational certificates and used them to secure government employment under false pretenses.,Guilty
The accused forged the signature of a deceased person to transfer property ownership illegally to himself.,Guilty
The defendant prepared counterfeit currency notes and attempted to circulate them in the local market.,Guilty
The defendant was falsely accused of theft. Alibi evidence and witness testimony proved he was elsewhere during the incident.,Not Guilty
Insufficient evidence to prove the defendant's involvement in the alleged assault. Key witnesses changed their statements during trial.,Not Guilty
The prosecution failed to establish the defendant's intent to commit fraud. The transaction was proved to be legitimate business dealing.,Not Guilty
DNA evidence exonerated the defendant who was wrongly accused of sexual assault. The real perpetrator was identified later.,Not Guilty
The defendant acted in self-defense when attacked by multiple assailants. The use of force was justified under the circumstances.,Not Guilty
The accused was found not guilty of murder as the death was ruled accidental and no criminal intent could be established.,Not Guilty
The defendant's constitutional right to peaceful protest was violated. The charges of unlawful assembly were deemed invalid.,Not Guilty
Medical evidence contradicted the prosecution's case. The defendant could not have caused the alleged injuries due to physical limitations.,Not Guilty
The defendant was involved in a conspiracy to commit terrorist activities but was found guilty only of lesser charges due to insufficient evidence of actual participation.,Guilty
"In a case of corporate fraud, the defendant CEO was held responsible for financial irregularities affecting thousands of investors.",Guilty
The defendant was charged with honor killing but was convicted of culpable homicide not amounting to murder due to sudden provocation.,Guilty
The case involved cybercrime where the defendant hacked into banking systems and transferred funds illegally to offshore accounts.,Guilty
The defendant was found guilty of human trafficking for the purpose of forced labor and sexual exploitation of minors.,Guilty
Environmental crime case where the defendant illegally dumped industrial waste causing pollution of groundwater affecting entire villages.,Guilty
